cluster_postcode,entity_1_kvk,entity_1_name,entity_1_insolvency,entity_1_bankruptcy_date,entity_2_kvk,entity_2_name,entity_2_insolvency,entity_2_bankruptcy_date,shared_sbi_codes,signals,name_similarity
1033NW,74194259,Bagpoint B.V.,F.13/25/516,2025-12-18,74194259,Bagpoint B.V.,F.15/25/329,2025-12-17,74990,same_postcode;shared_sbi;name_sim_1.00,1.00
3047AC,80045847,Start Zend B.V.,F.10/26/8,2026-01-08,80045847,Start Zend B.V.,F.01/26/3,2026-01-07,"78100,78202,88999",same_postcode;shared_sbi;name_sim_1.00,1.00
2641KS,82527059,MediHealthGroup B.V.,S.09/24/14,2024-03-18,82527059,MediHealthGroup B.V.,F.09/24/119,2024-03-28,,same_postcode;name_sim_1.00,1.00
4703RC,81879881,KRIWI B.V.,F.02/26/23,2026-01-29,81879881,KRIWI B.V.,F.09/26/23,2026-01-28,46390,same_postcode;shared_sbi;name_sim_1.00,1.00
5632CW,82034850,Magazijnmontage.nl B.V.,F.01/25/258,2025-09-26,82034850,Magazijnmontage.nl B.V.,F.03/25/242,2025-09-23,41000,same_postcode;shared_sbi;name_sim_1.00,1.00
1231KH,71552308,Tacena B.V.,F.02/25/233,2025-08-07,71552308,Tacena B.V.,F.16/25/402,2025-08-06,,same_postcode;name_sim_1.00,1.00
8017JD,05050630,Form International B.V.,S.05/26/2,2026-01-15,05050630,Form International B.V.,F.08/26/15,2026-01-19,02400,same_postcode;shared_sbi;name_sim_1.00,1.00
2525KD,70342512,i-did Den Haag B.V.,S.09/25/8,2025-07-02,70342512,i-did Den Haag B.V.,F.09/25/228,2025-07-07,,same_postcode;name_sim_1.00,1.00
2525KD,30264352,i-did Utrecht B.V.,S.09/25/9,2025-07-02,30264352,i-did Utrecht B.V.,F.09/25/229,2025-07-07,,same_postcode;name_sim_1.00,1.00
2525KD,77407024,i-did Factory B.V.,S.09/25/7,2025-07-02,77407024,i-did Factory B.V.,F.09/25/227,2025-07-07,,same_postcode;name_sim_1.00,1.00
2525KD,77391500,i-did holding B.V.,F.09/25/333,2025-10-02,77391500,i-did holding B.V.,F.16/25/490,2025-10-01,64210,same_postcode;shared_sbi;name_sim_1.00,1.00
9723JA,82068046,Corre Energy B.V.,F.18/25/272,2025-09-19,82068046,Corre Energy B.V.,S.18/25/9,2025-08-26,70102,same_postcode;shared_sbi;name_sim_1.00,1.00
4818CL,12066337,Modere B.V.,F.03/25/231,2025-09-10,12066337,Modere B.V.,F.02/25/266,2025-09-11,46461,same_postcode;shared_sbi;name_sim_1.00,1.00
2031BJ,34215196,De Pastafabriek B.V.,S.13/25/16,2025-08-21,34215196,De Pastafabriek B.V.,S.15/25/4,2025-08-22,"46382,47273",same_postcode;shared_sbi;name_sim_1.00,1.00
2031BJ,34215196,De Pastafabriek B.V.,S.13/25/16,2025-08-21,34215196,De Pastafabriek B.V.,F.15/25/214,2025-08-25,"46382,47273",same_postcode;shared_sbi;name_sim_1.00,1.00
2031BJ,34215196,De Pastafabriek B.V.,S.15/25/4,2025-08-22,34215196,De Pastafabriek B.V.,F.15/25/214,2025-08-25,"46382,47273",same_postcode;shared_sbi;name_sim_1.00,1.00
3447GZ,74665340,MAAT Uitzendbureau B.V.,F.10/25/323,2025-08-27,74665340,MAAT Uitzendbureau B.V.,F.16/25/435,2025-09-04,"78201,78202",same_postcode;shared_sbi;name_sim_1.00,1.00
1019DE,85257281,House of Bouw B.V.,F.15/25/230,2025-09-10,85257281,House of Bouw B.V.,F.13/25/378,2025-09-11,41000,same_postcode;shared_sbi;name_sim_1.00,1.00
1076DX,64366901,Clinique Dr. Don Amsterdam B.V.,F.13/25/459,2025-11-18,64366901,Clinique Dr. Don Amsterdam B.V.,F.08/25/302,2025-11-19,"86221,86994",same_postcode;shared_sbi;name_sim_1.00,1.00
6831GM,76388972,OBONET International B.V.,F.13/25/334,2025-08-13,76388972,OBONET International B.V.,F.16/25/436,2025-09-04,,same_postcode;name_sim_1.00,1.00
2231BZ,75457210,Grower Connect B.V.,F.05/25/399,2025-10-30,75457210,Grower Connect B.V.,F.09/25/361,2025-10-31,46220,same_postcode;shared_sbi;name_sim_1.00,1.00
7161AG,08194300,Tri-O-Gen B.V.,F.08/25/285,2025-10-30,08194300,Tri-O-Gen B.V.,F.05/25/400,2025-11-03,"26510,46645",same_postcode;shared_sbi;name_sim_1.00,1.00
2903LR,81289596,AmeBalance B.V.,F.09/25/304,2025-09-03,81289596,AmeBalance B.V.,F.10/25/335,2025-09-04,47713,same_postcode;shared_sbi;name_sim_1.00,1.00
2153GM,56270569,Prolumi B.V.,F.09/25/363,2025-11-05,56270569,Prolumi B.V.,F.15/25/291,2025-11-06,46473,same_postcode;shared_sbi;name_sim_1.00,1.00
3071LL,78638364,HM Zuid-Holland B.V.,F.09/25/317,2025-09-10,78638364,HM Zuid-Holland B.V.,F.10/25/340,2025-09-11,01132,same_postcode;shared_sbi;name_sim_1.00,1.00
1322AC,85329452,GM Construct B.V.,F.16/25/472,2025-09-25,85329452,GM Construct B.V.,F.18/25/276,2025-09-24,71120,same_postcode;shared_sbi;name_sim_1.00,1.00
3045PC,20113366,Energy Engineering Solutions (EES) Holland B.V.,F.10/25/422,2025-11-25,20113366,Energy Engineering Solutions (EES) Holland B.V.,F.02/25/329,2025-11-24,"35110,71120",same_postcode;shared_sbi;name_sim_1.00,1.00
7468AB,84467118,Intrare B.V.,S.08/25/1,2025-04-09,84467118,Intrare B.V.,F.08/25/101,2025-04-10,,same_postcode;name_sim_1.00,1.00
1967DA,29045731,BVM Kunststoftechniek B.V.,F.09/25/413,2025-12-31,29045731,BVM Kunststoftechniek B.V.,F.08/25/349,2026-01-01,"43221,43222",same_postcode;shared_sbi;name_sim_1.00,1.00
7556BM,71663703,Thuisservice Twente B.V.,S.08/25/2,2025-04-21,71663703,Thuisservice Twente B.V.,F.08/25/113,2025-04-28,,same_postcode;name_sim_1.00,1.00
2984AN,86563262,Sterk in sprinklers B.V.,F.10/25/342,2025-09-11,86563262,Sterk in sprinklers B.V.,F.02/25/264,2025-09-10,43221,same_postcode;shared_sbi;name_sim_1.00,1.00
3511BR,69582793,LIBRA Capital B.V.,F.13/25/298,2025-07-30,69582793,LIBRA Capital B.V.,F.16/25/400,2025-08-01,,same_postcode;name_sim_1.00,1.00
3511BR,91235294,Kiwijs Benelux B.V.,F.02/25/369,2025-12-25,91235294,Kiwijs Benelux B.V.,F.09/25/408,2025-12-24,"62200,85599",same_postcode;shared_sbi;name_sim_1.00,1.00
3511BR,92662889,Uw Dak B.V.,F.13/26/4,2026-01-07,92662889,Uw Dak B.V.,F.15/26/7,2026-01-12,"16250,43410",same_postcode;shared_sbi;name_sim_1.00,1.00
1017BZ,70140758,Adventure Club Amsterdam B.V.,F.13/25/482,2025-11-28,70140758,Adventure Club Amsterdam B.V.,S.13/25/22,2025-11-26,"62100,78201,78202",same_postcode;shared_sbi;name_sim_1.00,1.00
3769AL,91312426,Scarabee-Electronics B.V.,F.16/25/603,2025-12-19,91312426,Scarabee-Electronics B.V.,F.18/25/360,2025-12-18,"62100,62200",same_postcode;shared_sbi;name_sim_1.00,1.00
1096BK,54377447,A-ccelerator B.V.,F.13/25/468,2025-11-25,54377447,A-ccelerator B.V.,S.13/25/20,2025-11-20,70201,same_postcode;shared_sbi;name_sim_1.00,1.00
1096BK,59864842,Innoleaps B.V.,F.13/25/469,2025-11-25,59864842,Innoleaps B.V.,S.13/25/21,2025-11-20,74990,same_postcode;shared_sbi;name_sim_1.00,1.00
5614HL,85795801,DM Tegels & Sanitair B.V.,S.01/25/4,2025-06-11,85795801,DM Tegels & Sanitair B.V.,F.01/25/158,2025-06-18,,same_postcode;name_sim_1.00,1.00
1055RD,30192889,IXL Netherlands B.V.,F.13/25/396,2025-10-02,30192889,IXL Netherlands B.V.,F.16/25/487,2025-10-01,"28930,72100",same_postcode;shared_sbi;name_sim_1.00,1.00
8304AA,77072731,Pepper Advies B.V.,F.08/25/331,2025-12-10,77072731,Pepper Advies B.V.,F.16/25/591,2025-12-11,69102,same_postcode;shared_sbi;name_sim_1.00,1.00
8024HB,05062595,Salland Engineering Electronics B.V.,S.08/25/4,2025-06-18,05062595,Salland Engineering Electronics B.V.,F.08/25/171,2025-06-25,71120,same_postcode;shared_sbi;name_sim_1.00,1.00
1431GZ,81699042,Groupcard Commercial B.V.,S.13/25/9,2025-06-19,81699042,Groupcard Commercial B.V.,F.13/25/288,2025-07-22,"62200,63100,73300",same_postcode;shared_sbi;name_sim_1.00,1.00
1431GZ,81590318,Groupcard Holding B.V.,S.13/25/10,2025-06-23,81590318,Groupcard Holding B.V.,F.13/25/287,2025-07-22,64210,same_postcode;shared_sbi;name_sim_1.00,1.00
1431GZ,81692226,Groupcard Solutions B.V.,S.13/25/11,2025-06-23,81692226,Groupcard Solutions B.V.,F.13/25/289,2025-07-22,"62100,62200",same_postcode;shared_sbi;name_sim_1.00,1.00
1431GZ,67710670,WestlandBon B.V.,F.09/25/267,2025-08-12,67710670,WestlandBon B.V.,F.13/25/329,2025-08-13,82990,same_postcode;shared_sbi;name_sim_1.00,1.00
2132LN,92189849,7 Days Dental B.V.,F.09/25/386,2025-12-03,92189849,7 Days Dental B.V.,F.13/25/498,2025-12-04,86230,same_postcode;shared_sbi;name_sim_1.00,1.00
5611JR,66389496,Reflectlab B.V.,F.01/25/301,2025-11-12,66389496,Reflectlab B.V.,F.09/25/368,2025-11-11,"62100,62900",same_postcode;shared_sbi;name_sim_1.00,1.00
5611JR,77565592,Trading Embassy B.V.,F.09/25/369,2025-11-11,77565592,Trading Embassy B.V.,F.01/25/302,2025-11-12,"62200,70201",same_postcode;shared_sbi;name_sim_1.00,1.00
5611JR,66479029,IPPY Retail B.V.,F.09/25/370,2025-11-11,66479029,IPPY Retail B.V.,F.01/25/303,2025-11-12,"46500,47920",same_postcode;shared_sbi;name_sim_1.00,1.00
1213NT,81389256,New Power Benelux B.V.,F.13/25/394,2025-10-01,81389256,New Power Benelux B.V.,F.16/25/498,2025-10-10,46180,same_postcode;shared_sbi;name_sim_1.00,1.00
5611DK,61241245,Vava Heuvel Galerie B.V.,F.01/25/247,2025-09-11,61241245,Vava Heuvel Galerie B.V.,F.10/25/346,2025-09-12,55101,same_postcode;shared_sbi;name_sim_1.00,1.00
3077AN,85333735,Heijvast Vastgoedonderhoud B.V.,F.10/25/359,2025-09-22,85333735,Heijvast Vastgoedonderhoud B.V.,S.10/25/10,2025-09-15,"42220,43212,43221,43222,43240,43310,43320,43340,43350,43410,43910,43990",same_postcode;shared_sbi;name_sim_1.00,1.00
3077AN,82860815,Heijvast B.V.,F.10/25/358,2025-09-22,82860815,Heijvast B.V.,S.10/25/9,2025-09-15,41000,same_postcode;shared_sbi;name_sim_1.00,1.00
3077AN,85329606,Heijvast Groep B.V.,F.10/25/357,2025-09-22,85329606,Heijvast Groep B.V.,S.10/25/8,2025-09-15,64210,same_postcode;shared_sbi;name_sim_1.00,1.00
3077AN,73314552,Van Driel Bouwconsultancy B.V.,F.10/25/360,2025-09-22,73314552,Van Driel Bouwconsultancy B.V.,S.10/25/11,2025-09-15,41000,same_postcode;shared_sbi;name_sim_1.00,1.00
3088EC,82546169,LW Collection B.V.,F.09/25/315,2025-09-10,82546169,LW Collection B.V.,F.10/25/341,2025-09-11,47553,same_postcode;shared_sbi;name_sim_1.00,1.00
8023DW,92107494,MediCo Estate B.V.,F.16/25/380,2025-07-25,92107494,MediCo Estate B.V.,S.16/25/12,2025-07-24,,same_postcode;name_sim_1.00,1.00
2132WV,32133145,DyeCoo Textile Systems B.V.,F.15/25/319,2025-11-27,32133145,DyeCoo Textile Systems B.V.,F.13/25/470,2025-11-26,46649,same_postcode;shared_sbi;name_sim_1.00,1.00
1544NV,92349617,Van Manen B.V.,F.13/25/302,2025-07-31,92349617,Van Manen B.V.,F.15/25/198,2025-08-01,,same_postcode;name_sim_1.00,1.00
3542AW,74856766,Atomeus Data Solutions B.V.,F.13/25/306,2025-07-31,74856766,Atomeus Data Solutions B.V.,F.16/25/398,2025-08-01,,same_postcode;name_sim_1.00,1.00
9761CE,95203664,JVL B.V.,F.13/25/312,2025-07-31,95203664,JVL B.V.,F.18/25/227,2025-08-01,"43310,43340",same_postcode;shared_sbi;name_sim_1.00,1.00
3740AB,32050836,Medicom Medische Uitgeverij B.V.,F.13/25/315,2025-08-01,32050836,Medicom Medische Uitgeverij B.V.,F.16/25/390,2025-07-30,,same_postcode;name_sim_1.00,1.00
3816BV,69527490,CarLex Nederland B.V.,F.13/25/305,2025-07-31,69527490,CarLex Nederland B.V.,F.16/25/399,2025-08-01,,same_postcode;name_sim_1.00,1.00
4041CL,84514957,Aquinos Bedding Netherlands B.V.,F.05/25/283,2025-08-04,84514957,Aquinos Bedding Netherlands B.V.,S.05/25/7,2025-07-07,"13990,20160,20170,20600",same_postcode;shared_sbi;name_sim_1.00,1.00
2908LT,94319057,Crazy Sexy Cool B.V.,F.09/25/394,2025-12-10,94319057,Crazy Sexy Cool B.V.,F.10/25/454,2025-12-11,"90392,93299",same_postcode;shared_sbi;name_sim_1.00,1.00
8255PE,58950044,BSVB B.V.,F.16/25/506,2025-10-17,58950044,BSVB B.V.,F.08/25/272,2025-10-15,43990,same_postcode;shared_sbi;name_sim_1.00,1.00
5531MB,87320150,THOM SERVICES B.V.,F.10/26/21,2026-01-21,87320150,THOM SERVICES B.V.,F.01/26/17,2026-01-22,"49410,52250",same_postcode;shared_sbi;name_sim_1.00,1.00
2585AP,67831672,Siu Tsjen For Good B.V.,F.09/25/264,2025-08-07,67831672,Siu Tsjen For Good B.V.,F.16/25/411,2025-08-06,,same_postcode;name_sim_1.00,1.00
1051LJ,84518359,ROY INFRA TRANSPORT B.V.,F.13/25/328,2025-08-07,84518359,ROY INFRA TRANSPORT B.V.,F.10/25/289,2025-08-06,,same_postcode;name_sim_1.00,1.00
5405BJ,65509951,Holland Herstel Groep B.V.,F.16/25/413,2025-08-07,65509951,Holland Herstel Groep B.V.,F.01/25/210,2025-08-08,,same_postcode;name_sim_1.00,1.00
1000CE,33190891,Nimatrasco B.V.,F.01/25/212,2025-08-13,33190891,Nimatrasco B.V.,F.13/25/330,2025-08-14,,same_postcode;name_sim_1.00,1.00
5222AW,16035413,Bestron Nederland B.V.,S.01/25/6,2025-08-13,16035413,Bestron Nederland B.V.,F.01/25/222,2025-08-13,,same_postcode;name_sim_1.00,1.00
5835AT,31043767,J.H.J. Hekkert Holding B.V.,F.01/25/224,2025-08-14,31043767,J.H.J. Hekkert Holding B.V.,F.16/25/416,2025-08-13,,same_postcode;name_sim_1.00,1.00
3011WD,71604782,"FOB Fats, Oils & Biofuels Trading B.V.",F.10/25/298,2025-08-14,71604782,"FOB Fats, Oils & Biofuels Trading B.V.",F.13/25/337,2025-08-13,"46120,71120",same_postcode;shared_sbi;name_sim_1.00,1.00
7545KA,62383698,Seankris Holding B.V.,F.10/25/297,2025-08-13,62383698,Seankris Holding B.V.,F.08/25/212,2025-08-14,,same_postcode;name_sim_1.00,1.00
2288EG,72961635,VeganFinestFood B.V.,F.13/25/335,2025-08-13,72961635,VeganFinestFood B.V.,F.09/25/279,2025-08-14,,same_postcode;name_sim_1.00,1.00
9727KB,90701976,EFS Transport B.V.,F.08/25/215,2025-08-14,90701976,EFS Transport B.V.,F.18/25/243,2025-08-15,,same_postcode;name_sim_1.00,1.00
3437HG,64773620,Methos B.V.,F.09/25/277,2025-08-13,64773620,Methos B.V.,F.16/25/422,2025-08-18,"62200,78202,85591",same_postcode;shared_sbi;name_sim_1.00,1.00
3437HG,64767418,Jeff Wouters B.V.,F.09/25/278,2025-08-13,64767418,Jeff Wouters B.V.,F.16/25/423,2025-08-18,,same_postcode;name_sim_1.00,1.00
2516AB,34229843,Claire's Netherlands B.V.,F.13/25/340,2025-08-19,34229843,Claire's Netherlands B.V.,S.13/25/14,2025-08-18,47716,same_postcode;shared_sbi;name_sim_1.00,1.00
4538AP,53851315,ABC Zonnepanelen B.V.,S.02/25/6,2025-04-16,53851315,ABC Zonnepanelen B.V.,F.02/25/123,2025-04-28,,same_postcode;name_sim_1.00,1.00
4538AP,54028779,ABC Zonexperts B.V.,S.02/25/5,2025-04-16,54028779,ABC Zonexperts B.V.,F.02/25/122,2025-04-28,,same_postcode;name_sim_1.00,1.00
6657KL,83972757,Yorway Holding B.V.,F.13/25/345,2025-08-20,83972757,Yorway Holding B.V.,F.05/25/315,2025-08-21,,same_postcode;name_sim_1.00,1.00
6657KL,80125042,Kozijnentotaal B.V.,F.05/25/318,2025-08-21,80125042,Kozijnentotaal B.V.,F.13/25/343,2025-08-20,,same_postcode;name_sim_1.00,1.00
6657KL,83977279,Yorway B.V.,F.13/25/342,2025-08-20,83977279,Yorway B.V.,F.05/25/316,2025-08-21,,same_postcode;name_sim_1.00,1.00
6657KL,17178485,JAN VAN DAL Kunststof ramen en deuren B.V.,F.01/25/230,2025-08-20,17178485,JAN VAN DAL Kunststof ramen en deuren B.V.,F.05/25/304,2025-08-21,,same_postcode;name_sim_1.00,1.00
1031KP,84133430,Raemakers Real Estate B.V.,F.05/25/317,2025-08-21,84133430,Raemakers Real Estate B.V.,F.13/25/344,2025-08-20,,same_postcode;name_sim_1.00,1.00
5656AE,66455359,Mobyyou B.V.,S.13/25/17,2025-08-25,66455359,Mobyyou B.V.,F.01/25/255,2025-09-19,62100,same_postcode;shared_sbi;name_sim_1.00,1.00
5656AE,66455359,Mobyyou B.V.,S.13/25/17,2025-08-25,66455359,Mobyyou B.V.,S.01/25/7,2025-08-26,62100,same_postcode;shared_sbi;name_sim_1.00,1.00
5656AE,66455359,Mobyyou B.V.,F.01/25/255,2025-09-19,66455359,Mobyyou B.V.,S.01/25/7,2025-08-26,62100,same_postcode;shared_sbi;name_sim_1.00,1.00
1101BB,09148605,Asbestverwijdering Ede B.V.,F.05/25/306,2025-08-20,09148605,Asbestverwijdering Ede B.V.,F.13/25/351,2025-08-21,39002,same_postcode;shared_sbi;name_sim_1.00,1.00
3193LH,85345687,SNQN B.V.,F.10/25/311,2025-08-21,85345687,SNQN B.V.,F.09/25/288,2025-08-20,,same_postcode;name_sim_1.00,1.00
3076CE,81149808,Retex B.V.,F.09/25/287,2025-08-20,81149808,Retex B.V.,F.10/25/310,2025-08-21,,same_postcode;name_sim_1.00,1.00
3076CE,71853669,Nano Beds B.V.,F.10/25/417,2025-11-13,71853669,Nano Beds B.V.,F.09/25/374,2025-11-12,46471,same_postcode;shared_sbi;name_sim_1.00,1.00
2024VS,34215205,Datris B.V.,S.15/25/3,2025-08-21,34215205,Datris B.V.,F.15/25/213,2025-08-25,64210,same_postcode;shared_sbi;name_sim_1.00,1.00
1432DC,28072199,Paardekooper Horti B.V.,S.13/25/15,2025-08-20,28072199,Paardekooper Horti B.V.,F.10/25/314,2025-08-22,"46646,46649",same_postcode;shared_sbi;name_sim_1.00,1.00
3433NP,93710976,Schoonmaakbedrijf Nieuwegein B.V.,F.10/25/300,2025-08-20,93710976,Schoonmaakbedrijf Nieuwegein B.V.,F.16/25/427,2025-08-22,"81210,81221,81229",same_postcode;shared_sbi;name_sim_1.00,1.00
3281AT,82576696,Tast Toe B.V.,F.10/25/312,2025-08-22,82576696,Tast Toe B.V.,S.10/25/7,2025-08-20,56111,same_postcode;shared_sbi;name_sim_1.00,1.00
3260BB,24140407,Koninklijke Paardekooper Group B.V.,F.10/25/315,2025-08-22,24140407,Koninklijke Paardekooper Group B.V.,S.10/25/5,2025-08-19,64210,same_postcode;shared_sbi;name_sim_1.00,1.00
3512AN,76286967,Hairlounge B.V.,F.05/25/324,2025-08-27,76286967,Hairlounge B.V.,F.16/25/432,2025-08-28,96210,same_postcode;shared_sbi;name_sim_1.00,1.00
4906CV,73170933,Freightned Benelux B.V.,F.02/25/339,2025-11-27,73170933,Freightned Benelux B.V.,F.10/25/427,2025-11-26,"33170,49410,52109,64210,64923",same_postcode;shared_sbi;name_sim_1.00,1.00
4906CV,73170895,Freightned Warehousing B.V.,F.02/25/338,2025-11-27,73170895,Freightned Warehousing B.V.,F.10/25/426,2025-11-26,"52109,52250",same_postcode;shared_sbi;name_sim_1.00,1.00
8263CB,80662889,Enkflexx allround B.V.,F.08/25/222,2025-08-28,80662889,Enkflexx allround B.V.,F.09/25/296,2025-08-27,,same_postcode;name_sim_1.00,1.00
3811CV,66347483,Solutionmanagement B.V.,F.05/25/292,2025-08-13,66347483,Solutionmanagement B.V.,F.16/25/433,2025-08-29,,same_postcode;name_sim_1.00,1.00
2289EZ,71847243,A.Y.M. International B.V.,F.09/25/300,2025-09-01,71847243,A.Y.M. International B.V.,F.10/25/325,2025-08-27,"64210,64310",same_postcode;shared_sbi;name_sim_1.00,1.00
2289EZ,71183736,Pianometropool International B.V.,F.10/25/324,2025-08-27,71183736,Pianometropool International B.V.,F.09/25/299,2025-09-01,"46495,47690",same_postcode;shared_sbi;name_sim_1.00,1.00
7201KS,70796254,Nic & Ik B.V.,S.05/25/8,2025-09-03,70796254,Nic & Ik B.V.,F.05/25/332,2025-09-05,56111,same_postcode;shared_sbi;name_sim_1.00,1.00
8263BL,86886029,Schone Energie Groep B.V.,F.13/25/371,2025-09-09,86886029,Schone Energie Groep B.V.,F.08/25/238,2025-09-12,"64210,70202",same_postcode;shared_sbi;name_sim_1.00,1.00
3067ES,73955930,The Xperience Company B.V.,F.10/25/299,2025-08-20,73955930,The Xperience Company B.V.,F.09/25/318,2025-09-10,,same_postcode;name_sim_1.00,1.00
5101BB,71384766,van Calsteren B.V.,F.03/25/237,2025-09-18,71384766,van Calsteren B.V.,F.02/25/272,2025-09-19,64210,same_postcode;shared_sbi;name_sim_1.00,1.00
2513AH,77902432,Vava Buitenhof B.V.,F.09/25/309,2025-09-10,77902432,Vava Buitenhof B.V.,F.10/25/345,2025-09-11,"56111,64210",same_postcode;shared_sbi;name_sim_1.00,1.00
1511AK,85249947,House of Bouw Group B.V.,F.15/25/231,2025-09-10,85249947,House of Bouw Group B.V.,F.13/25/377,2025-09-11,64210,same_postcode;shared_sbi;name_sim_1.00,1.00
3971JG,56169981,Sfeer voor jou B.V.,F.16/25/449,2025-09-11,56169981,Sfeer voor jou B.V.,F.02/25/265,2025-09-10,46190,same_postcode;shared_sbi;name_sim_1.00,1.00
1060RS,91557399,Jodha B.V.,F.13/25/376,2025-09-11,91557399,Jodha B.V.,F.15/25/233,2025-09-10,56112,same_postcode;shared_sbi;name_sim_1.00,1.00
7324AE,32112799,Coro Reizen B.V.,F.05/25/341,2025-09-11,32112799,Coro Reizen B.V.,F.16/25/445,2025-09-10,79120,same_postcode;shared_sbi;name_sim_1.00,1.00
3132CM,61936499,Stichting Uw Zorgaanbieder,F.09/25/314,2025-09-11,61936499,Stichting Uw Zorgaanbieder,F.10/25/343,2025-09-12,"86942,88101",same_postcode;shared_sbi;name_sim_1.00,1.00
7951ZB,62361112,Speed Demon Holland B.V.,F.13/25/373,2025-09-10,62361112,Speed Demon Holland B.V.,F.08/25/239,2025-09-12,"47810,95311",same_postcode;shared_sbi;name_sim_1.00,1.00
8025BX,55009794,HA Infra B.V.,F.05/25/343,2025-09-12,55009794,HA Infra B.V.,F.08/25/240,2025-09-15,,same_postcode;name_sim_1.00,1.00
8932CZ,74428179,Profiel Tempus B.V.,F.18/25/271,2025-09-18,74428179,Profiel Tempus B.V.,F.09/25/320,2025-09-17,46340,same_postcode;shared_sbi;name_sim_1.00,1.00
2037AZ,86558781,Daifu B.V.,F.10/25/352,2025-09-17,86558781,Daifu B.V.,F.15/25/242,2025-09-18,56112,same_postcode;shared_sbi;name_sim_1.00,1.00
6414TT,77493079,Shaker Centre B.V.,F.01/25/254,2025-09-17,77493079,Shaker Centre B.V.,F.03/25/236,2025-09-18,"56111,68203",same_postcode;shared_sbi;name_sim_1.00,1.00
